FIPS,pop_2019
39001,27776
39003,103175
39005,53536
39007,97830
39009,65917
39011,45729
39013,68024
39015,43572
39017,380019
39019,27332
39021,38845
39023,134726
39025,204275
39027,41957
39029,103190
39031,36585
39033,41821
39035,1247451
39037,51513
39039,38160
39041,201135
39043,74780
39045,154457
39047,28620
39049,1290360
39051,42253
39053,30088
39055,93843
39057,166502
39059,39111
39061,813589
39063,75837
39065,31425
39067,15211
39069,27208
39071,43016
39073,28390
39075,43901
39077,58339
39079,32450
39081,66371
39083,61481
39085,229954
39087,60184
39089,173750
39091,45316
39093,307670
39095,431102
39097,44135
39099,229961
39101,65299
39103,177980
39105,23078
39107,40884
39109,105371
39111,13942
39113,531670
39115,14640
39117,35043
39119,86131
39121,14416
39123,40632
39125,18809
39127,36022
39129,57762
39131,28000
39133,162511
39135,41093
39137,33911
39139,121100
39141,76948
39143,59029
39145,76040
39147,55351
39149,48749
39151,372404
39153,541334
39155,200367
39157,92335
39159,56707
39161,28261
39163,13083
39165,229132
39167,60426
39169,116099
39171,36816
39173,130150
39175,22000
